31830	29310
31829.9	29310
31829.9	29309.9
31829.8	29309.9
31829.7	29309.8
31829.7	29309.8
31829.6	29309.8
31829.5	29309.7
31829.5	29309.7
31829.4	29309.6
31829.3	29309.6
31829.3	29309.6
31829.2	29309.5
31829.1	29309.5
31829.1	29309.4
31829	29309.4
31828.9	29309.4
31828.9	29309.3
31828.8	29309.3
31828.7	29309.2
31828.6	29309.2
31828.6	29309.1
31828.5	29309.1
31828.4	29309.1
31828.4	29309
31828.3	29309
31828.2	29308.9
31828.2	29308.9
31828.1	29308.9
31828	29308.8
31828	29308.8
31827.9	29308.7
31827.8	29308.7
31827.8	29308.7
31827.7	29308.6
31827.6	29308.6
31827.6	29308.5
31827.5	29308.5
31827.4	29308.5
31827.4	29308.4
31827.3	29308.4
31827.2	29308.3
31827.2	29308.3
31827.1	29308.3
31827	29308.2
31827	29308.2
31826.9	29308.1
31826.8	29308.1
31826.8	29308.1
31826.7	29308
31826.6	29308
31826.6	29307.9
31826.5	29307.9
31826.4	29307.8
31826.3	29307.8
31826.3	29307.8
31826.2	29307.7
31826.1	29307.7
31826.1	29307.6
31826	29307.6
31825.9	29307.6
31825.9	29307.5
31825.8	29307.5
31825.7	29307.4
31825.7	29307.4
31825.6	29307.4
31825.5	29307.3
31825.5	29307.3
31825.4	29307.2
31825.3	29307.2
31825.3	29307.2
31825.2	29307.1
31825.1	29307.1
31825.1	29307
31825	29307
31824.9	29307
31824.9	29306.9
31824.8	29306.9
31824.7	29306.8
31824.7	29306.8
