t	v
91.12	-40.52465032
91.125	-40.15535656
91.13	-39.77075743
91.135	-39.37002958
91.14	-38.95230991
91.145	-38.51669683
91.15	-38.0622529
91.155	-37.58800918
91.16	-37.0931591
91.165	-36.576608
91.17	-36.03721596
91.175	-35.47379991
91.18	-34.88513694
91.185	-34.26996885
91.19	-33.62700818
91.195	-32.95494602
91.2	-32.25246188
91.205	-31.51823572
91.21	-30.75096253
91.215	-29.94936975
91.22	-29.11223758
91.225	-28.23842253
91.23	-27.32688428
91.235	-26.37671588
91.24	-25.38717707
91.245	-24.35773061
91.25	-23.28808084
91.255	-22.1782137
91.26	-21.02843698
91.265	-19.83941929
91.27	-18.6122257
91.275	-17.34834801
91.28	-16.04972709
91.285	-14.71876488
91.29	-13.35832374
91.295	-11.97171123
91.3	-10.56264919
91.305	-9.135226744
91.31	-7.693838379
91.315	-6.243108933
91.32	-4.787808921
91.325	-3.332764176
91.33	-1.88276431
91.335	-0.442474521
91.34	0.983645241
91.345	2.391410477
91.35	3.776969457
91.355	5.136846473
95.45	7.847192236
95.505	7.383910431
95.56	6.929812756
95.615	6.484819471
95.67	6.048848767
95.725	5.62181744
95.78	5.203641411
95.835	4.79423611
95.89	4.393516748
95.945	4.00139849
96	3.61779654
96.055	3.24262617
96.11	2.875802679
96.165	2.517241326
96.22	2.166857219
96.275	1.824565193
96.33	1.490279673
96.385	1.16391453
96.44	0.845382942
96.495	0.534597258
96.55	0.23146888
96.605	-0.064091848
96.66	-0.352175731
96.715	-0.632874792
96.77	-0.90628233
96.825	-1.172492952
96.88	-1.431602583
96.935	-1.683708465
96.99	-1.928909128
97.045	-2.167304355
97.1	-2.398995117
97.155	-2.624083509
97.21	-2.842672661
97.265	-3.054866645
97.32	-3.260770368
97.375	-3.460489464
97.43	-3.65413017
97.485	-3.84179921
97.54	-4.023603664
97.595	-4.199650842
97.65	-4.370048158
97.705	-4.534902999
97.76	-4.694322606
97.815	-4.848413947
97.87	-4.997283597
97.925	-5.141037628
97.98	-5.279781495
98.035	-5.413619931
98.09	-5.542656852
98.145	-5.666995256
98.2	-5.786737143
98.255	-5.90198343
98.31	-6.012833874
98.365	-6.119387008
98.42	-6.221740074
98.475	-6.319988967
98.53	-6.414228185
98.585	-6.504550785
98.64	-6.591048339
98.695	-6.673810907
98.75	-6.752926999
98.805	-6.82848356
98.86	-6.900565942
98.915	-6.969257896
98.97	-7.034641554
99.025	-7.09679743
99.08	-7.155804406
99.135	-7.211739743
99.19	-7.264679072
99.245	-7.314696411
99.3	-7.361864166
99.355	-7.406253141
99.41	-7.447932557
99.465	-7.486970061
99.52	-7.523431745
99.575	-7.557382165
99.63	-7.588884358
99.685	-7.617999863
99.74	-7.644788748
99.795	-7.669309627
99.85	-7.691619685
99.905	-7.711774704
99.96	-7.729829088
100.015	-7.745835888
100.07	-7.759846826
100.125	-7.771912324
100.18	-7.78208153
100.235	-7.790402342
100.29	-7.796921437
100.345	-7.801684297
100.4	-7.804735235
100.455	-7.806117421
100.51	-7.805872909
100.565	-7.804042663
100.62	-7.800666582
100.675	-7.795783525
100.73	-7.789431338
100.785	-7.781646876
100.84	-7.772466032
100.895	-7.761923754
100.95	-7.750054076
101.005	-7.736890136
101.06	-7.722464201
101.115	-7.706807689
101.17	-7.689951192
101.225	-7.671924496
101.28	-7.6527566
101.335	-7.632475743
101.39	-7.611109418
101.445	-7.588684394
101.5	-7.565226736
101.555	-7.540761821
101.61	-7.515314362
101.665	-7.488908418
101.72	-7.461567418
101.775	-7.433314175
101.83	-7.404170903
101.885	-7.374159235
101.94	-7.343300236
101.995	-7.311614418
102.05	-7.279121761
102.105	-7.245841719
102.16	-7.21179324
102.215	-7.176994778
102.27	-7.141464307
102.325	-7.105219333
102.38	-7.068276909
102.435	-7.030653644
102.49	-6.992365717
102.545	-6.95342889
102.6	-6.913858517
102.655	-6.873669556
102.71	-6.83287658
102.765	-6.791493788
102.82	-6.749535014
102.875	-6.707013736
102.93	-6.663943091
102.985	-6.620335876
103.04	-6.576204563
103.095	-6.531561308
103.15	-6.486417956
103.205	-6.440786052
103.26	-6.394676848
103.315	-6.348101313
103.37	-6.301070135
103.425	-6.253593737
103.48	-6.205682278
103.535	-6.157345659
103.59	-6.108593537
103.645	-6.059435325
103.7	-6.009880199
103.755	-5.95993711
103.81	-5.909614782
103.865	-5.858921725
103.92	-5.807866236
103.975	-5.756456407
104.03	-5.704700129
104.085	-5.6526051
104.15	-5.59059962
104.26	-5.484600748
104.37	-5.377367369
104.48	-5.268952799
104.59	-5.15940783
104.645	-5.104260064
104.7	-5.048847676
104.755	-4.993176386
104.81	-4.937251767
104.865	-4.881079259
104.92	-4.824664168
104.975	-4.768011674
105.03	-4.711126831
105.085	-4.654014573
105.14	-4.596679718
105.195	-4.539126968
105.25	-4.481360916
105.305	-4.423386045
105.36	-4.365206733
105.415	-4.306827256
105.47	-4.248251791
105.525	-4.189484417
105.58	-4.130529118
105.635	-4.071389787
105.69	-4.012070227
105.745	-3.952574155
105.8	-3.892905202
105.855	-3.833066917
105.91	-3.773062768
105.965	-3.712896148
106.02	-3.652570371
106.075	-3.592088678
106.13	-3.53145424
106.185	-3.470670155
106.24	-3.409739457
106.295	-3.348665112
106.35	-3.287450021
106.405	-3.226097025
106.46	-3.164608903
106.515	-3.102988378
106.57	-3.041238112
106.625	-2.979360715
106.68	-2.917358741
106.735	-2.855234694
106.79	-2.792991025
106.845	-2.730630139
106.9	-2.668154392
106.955	-2.605566093
107.01	-2.542867508
107.065	-2.480060859
107.12	-2.417148325
107.175	-2.354132048
107.23	-2.291014128
107.285	-2.227796626
107.34	-2.164481571
107.395	-2.101070952
107.45	-2.037566726
107.505	-1.973970817
107.56	-1.910285117
107.615	-1.846511487
107.67	-1.78265176
107.725	-1.718707737
107.78	-1.654681196
107.835	-1.590573887
107.89	-1.526387533
107.945	-1.462123835
108	-1.397784471
108.055	-1.333371094
108.11	-1.268885339
108.165	-1.204328818
108.22	-1.139703126
108.275	-1.075009837
108.33	-1.010250509
108.385	-0.945426682
108.44	-0.880539881
108.495	-0.815591616
108.55	-0.750583382
108.605	-0.68551666
108.66	-0.62039292
108.715	-0.555213618
108.77	-0.489980199
108.825	-0.4246941
108.88	-0.359356745
108.935	-0.29396955
108.99	-0.228533923
109.045	-0.163051263
109.1	-0.097522965
109.155	-0.031950413
109.21	0.033665012
109.265	0.099321935
109.32	0.165018985
109.375	0.230754797
109.43	0.296528008
109.485	0.362337258
109.54	0.428181191
109.595	0.49405845
109.65	0.559967684
109.705	0.625907538
109.76	0.691876662
109.815	0.757873703
109.87	0.82389731
109.925	0.889946129
109.98	0.956018805
110.035	1.022113984
110.09	1.088230308
110.145	1.154366415
110.2	1.220520944
110.255	1.286692529
110.31	1.3528798
110.365	1.419081385
110.42	1.485295905
110.475	1.551521981
110.53	1.617758225
110.585	1.684003248
110.64	1.750255653
110.695	1.816514039
110.75	1.882776999
110.805	1.949043121
110.86	2.015310985
110.915	2.081579168
110.97	2.147846237
111.025	2.214110755
111.08	2.280371277
111.135	2.346626353
111.19	2.412874522
111.245	2.479114322
111.3	2.545344277
111.355	2.61156291
111.41	2.677768731
111.465	2.743960248
111.52	2.810135956
111.575	2.876294347
111.63	2.942433902
111.685	3.008553098
111.74	3.0746504
111.795	3.140724269
111.85	3.206773156
111.905	3.272795505
111.96	3.338789754
112.015	3.404754331
112.07	3.470687658
112.125	3.536588149
112.18	3.602454209
112.235	3.66828424
112.29	3.734076631
112.345	3.799829769
112.4	3.865542031
112.455	3.931211787
112.51	3.996837402
112.565	4.062417232
112.62	4.127949628
112.675	4.193432934
112.73	4.258865488
112.785	4.324245622
112.84	4.389571662
112.895	4.454841926
112.95	4.52005473
113.005	4.585208383
113.06	4.650301187
113.115	4.715331443
113.17	4.780297443
113.225	4.845197477
113.28	4.910029829
113.335	4.974792781
113.39	5.039484609
113.445	5.104103586
113.5	5.168647982
113.555	5.233116064
113.61	5.297506095
113.665	5.361816336
113.72	5.426045046
113.775	5.490190481
113.83	5.554250895
113.885	5.618224542
113.94	5.682109672
113.995	5.745904538
114.05	5.809607389
114.105	5.873216473
114.16	5.936730041
114.215	6.000146342
114.27	6.063463626
114.325	6.126680143
114.38	6.189794146
114.435	6.252803886
114.49	6.31570762
114.545	6.378503602
114.6	6.441190094
114.655	6.503765354
114.71	6.56622765
114.765	6.628575246
114.82	6.690806416
114.875	6.752919433
114.93	6.814912577
114.985	6.876784131
115.04	6.938532383
115.095	7.000155627
115.15	7.061652161
115.205	7.123020289
115.26	7.184258322
115.315	7.245364576
115.37	7.306337374
115.425	7.367175047
115.48	7.427875931
115.535	7.488438371
115.59	7.54886072
115.645	7.609141338
115.7	7.669278595
115.755	7.729270867
115.81	7.789116541
115.865	7.848814014
115.92	7.90836169
115.975	7.967757984
116.03	8.027001323
116.085	8.08609014
116.14	8.145022882
116.195	8.203798006
116.25	8.26241398
116.305	8.320869284
116.36	8.379162408
116.415	8.437291855
116.47	8.495256141
116.525	8.553053792
116.58	8.610683349
116.635	8.668143365
116.69	8.725432405
116.745	8.782549049
116.8	8.839491888
116.855	8.896259529
116.91	8.952850593
116.965	9.009263713
117.02	9.065497539
117.075	9.121550732
117.13	9.177421971
117.185	9.233109948
117.24	9.288613371
117.295	9.343930962
117.35	9.399061459
117.405	9.454003617
117.46	9.508756204
117.515	9.563318004
117.57	9.61768782
117.625	9.671864469
117.68	9.725846783
117.735	9.779633611
117.79	9.833223822
117.845	9.886616296
117.9	9.939809934
117.955	9.992803651
118.01	10.04559638
118.065	10.09818707
118.12	10.15057469
118.175	10.20275823
118.23	10.25473668
118.285	10.30650907
118.34	10.35807442
118.395	10.40943181
118.45	10.46058028
118.505	10.51151894
118.56	10.56224689
118.615	10.61276325
118.67	10.66306717
118.725	10.71315781
118.78	10.76303433
118.835	10.81269594
118.89	10.86214185
118.945	10.91137129
119	10.96038351
119.055	11.00917776
119.11	11.05775335
119.165	11.10610956
119.22	11.15424571
119.275	11.20216115
119.33	11.24985522
119.385	11.2973273
119.44	11.34457678
119.495	11.39160306
119.55	11.43840557
119.605	11.48498375
119.66	11.53133706
119.715	11.57746498
119.77	11.62336701
119.825	11.66904264
119.88	11.71449142
119.935	11.75971289
119.99	11.80470661
120.045	11.84947216
120.1	11.89400915
120.155	11.93831717
120.21	11.98239587
120.265	12.02624488
120.32	12.06986389
120.375	12.11325255
120.43	12.15641058
120.485	12.19933769
120.54	12.2420336
120.595	12.28449805
120.65	12.32673082
120.705	12.36873168
120.76	12.41050042
120.815	12.45203685
120.87	12.49334079
120.925	12.53441208
120.98	12.57525059
121.035	12.61585617
121.09	12.65622872
121.145	12.69636813
121.2	12.73627431
121.255	12.77594721
121.31	12.81538676
121.365	12.85459291
121.42	12.89356565
121.475	12.93230496
121.53	12.97081084
121.585	13.00908331
121.64	13.04712238
121.695	13.08492811
121.75	13.12250055
121.805	13.15983977
121.86	13.19694585
121.915	13.23381889
121.97	13.27045898
122.025	13.30686626
122.08	13.34304085
122.135	13.3789829
122.19	13.41469257
122.245	13.45017002
122.3	13.48541544
122.355	13.52042903
122.455	13.58350247
122.565	13.65200076
122.675	13.71957562
122.785	13.78622914
122.895	13.85196359
123.005	13.91678139
123.115	13.98068513
123.225	14.04367759
123.335	14.10576166
123.445	14.16694041
123.555	14.22721703
123.665	14.28659487
123.775	14.3450774
123.885	14.40266822
123.995	14.45937107
124.105	14.51518978
124.215	14.57012832
124.325	14.62419076
124.435	14.67738128
124.545	14.72970415
124.655	14.78116375
124.765	14.83176456
124.875	14.88151112
124.985	14.93040809
125.095	14.97846019
125.205	15.02567222
125.315	15.07204906
125.425	15.11759565
125.535	15.16231701
125.645	15.20621821
125.755	15.24930438
125.865	15.29158072
125.975	15.33305247
126.085	15.37372492
126.195	15.4136034
126.305	15.45269332
126.415	15.49100007
126.525	15.52852913
126.635	15.56528599
126.745	15.60127618
126.855	15.63650525
126.965	15.67097878
127.075	15.70470238
127.185	15.73768168
127.295	15.76992233
127.405	15.80142999
127.515	15.83221034
127.625	15.86226906
127.735	15.89161187
127.845	15.92024448
127.955	15.94817259
128.065	15.97540194
128.175	16.00193824
128.285	16.02778722
128.395	16.0529546
128.505	16.07744612
128.615	16.10126747
128.725	16.12442438
128.835	16.14692255
128.945	16.16876767
129.055	16.18996544
129.165	16.21052152
129.275	16.23044159
129.385	16.24973128
129.495	16.26839622
129.605	16.28644205
129.715	16.30387435
129.825	16.32069871
129.935	16.33692068
130.045	16.35254582
130.155	16.36757964
130.265	16.38202764
130.375	16.39589529
130.485	16.40918804
130.595	16.42191133
130.705	16.43407055
130.815	16.44567107
130.925	16.45671825
131.035	16.46721741
131.145	16.47717383
131.255	16.48659279
131.365	16.49547951
131.475	16.50383921
131.585	16.51167706
131.695	16.5189982
131.805	16.52580774
131.915	16.53211077
132.025	16.53791235
132.135	16.54321747
132.245	16.54803114
132.355	16.5523583
132.465	16.55620388
132.575	16.55957275
132.685	16.56246977
132.795	16.56489975
132.905	16.56686749
133.015	16.56837773
133.125	16.56943518
133.235	16.57004452
133.345	16.5702104
133.455	16.56993743
133.565	16.56923018
133.675	16.56809319
133.785	16.56653096
133.895	16.56454797
134.005	16.56214864
134.115	16.55933737
134.225	16.55611853
134.335	16.55249644
134.445	16.54847538
134.555	16.54405961
134.665	16.53925336
134.775	16.5340608
134.885	16.52848609
134.995	16.52253332
135.105	16.51620659
135.215	16.50950992
135.325	16.50244734
135.435	16.49502279
